id,observed_on,time_observed_at,time_zone,user_id,user_name,created_at,updated_at,quality_grade,license,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
124513,8/8/09,2009-08-08 21:50:00 UTC,Pacific Time (US & Canada),8641,John Brew,2012-09-18 02:24:50 UTC,2022-04-24 15:01:07 UTC,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/176714/medium.jpg,,"Larches at Headlight Basin

i090909 338",2,0,FALSE,,"Washington, United States",47.467528,-120.940589,,,,,,,open,,Subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
828808,8/9/14,2014-08-09 21:23:37 UTC,Pacific Time (US & Canada),14665,,2014-08-13 00:08:51 UTC,2023-03-08 23:08:08 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1046104/medium.jpg,,,2,0,FALSE,3,"North Cascades National Park, Skagit County, North Cascades National Park Service Complex, US-WA, US",48.572009,-120.845493,5,,,,5,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
895936,9/19/14,2014-09-19 19:45:34 UTC,Eastern Time (US & Canada),4062,Christopher B.,2014-09-26 17:15:17 UTC,2024-06-27 06:20:27 UTC,research,CC-BY,https://static.inaturalist.org/photos/1139834/medium.JPG,,Larch tree overlooking Lake Louise,1,0,FALSE,,"The Beehive, Banff National Park, Alberta, Canada",51.412899,-116.243237,41,,,,41,,,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
895950,9/19/14,2014-09-19 19:55:12 UTC,Eastern Time (US & Canada),4062,Christopher B.,2014-09-26 17:30:54 UTC,2024-06-27 06:20:13 UTC,research,CC-BY,https://static.inaturalist.org/photos/1139855/medium.JPG,,,1,0,FALSE,,"Lake Agnes, Banff National Park, Alberta, Canada",51.412852,-116.246451,20,,,,20,,,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
1397296,9/9/14,2014-09-09 18:18:56 UTC,Pacific Time (US & Canada),81291,Steve Tuckerman,2015-04-16 03:55:52 UTC,2017-09-21 16:41:24 UTC,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1727631/medium.JPG,,OLYMPUS DIGITAL CAMERA         ,1,0,FALSE,,"Chelan County, US-WA, US",48.507592,-120.672197,88,,,,88,,,,Subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
1470242,9/9/14,2014-09-09 17:40:11 UTC,Pacific Time (US & Canada),81291,Steve Tuckerman,2015-05-09 21:28:30 UTC,2019-07-20 23:29:34 UTC,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1822640/medium.JPG,,Western Larch grove near Early Winter Spires in the North Cascades.,1,0,FALSE,,"Chelan County, US-WA, US",48.514899,-120.666618,175,,,,175,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
1662586,6/20/15,2015-06-20 23:54:32 UTC,Pacific Time (US & Canada),8641,John Brew,2015-06-22 05:12:58 UTC,2016-05-07 02:53:37 UTC,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/2032363/medium.jpg,,"A forest of subalpine larch (Larix lyallii) surround this tarn
Raven Ridge 2618 meters (8590 feet) overlooks the scene.
Elevation 2250 meters (7380 feet)
near a large tarn near Libby Lake Trail 415
Lake Chelan-Sawtooth Wilderness
IMG_20150620_165432",1,0,FALSE,,"Washington, United States",48.247433,-120.336242,,,,,,,,,Larix lyallii,Larix lyallii,subalpine larch,Plantae,69848
1686984,6/20/15,2015-06-20 16:58:53 UTC,Pacific Time (US & Canada),8641,John Brew,2015-06-25 01:43:42 UTC,2016-05-07 02:47:10 UTC,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/2044972/medium.jpg,,"Larix lyallii
Subalpine Larch
Elevation 2250 meters (7400 feet)
Libby Lake Trail 415
Lake Chelan-Sawtooth Wilderness
IMG_20150620_095853",1,0,FALSE,,"Washington, United States",48.252079,-120.333856,,,,,,,,,Subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
1887241,8/15/15,,Auckland,58459,Katy Johns,2015-08-24 08:48:39 UTC,2018-10-04 15:24:46 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2301012/medium.JPG,,,1,0,FALSE,,"Cathedral Lakes, BC",49.056188,-120.207611,323,,,,323,,,,Subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
1890161,8/15/15,,Auckland,58459,Katy Johns,2015-08-25 05:47:20 UTC,2022-01-12 01:59:31 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2305070/medium.JPG,,Small egg-shaped seed cones are reddish yellow when young with prominent bracts,1,0,FALSE,,"Cathedral Lakes, BC",49.056188,-120.207611,323,,,,323,,,,Subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
2075615,10/3/15,,Pacific Time (US & Canada),104905,Joan Septembre,2015-10-05 04:03:59 UTC,2020-12-05 21:51:55 UTC,research,CC-BY-NC-ND,https://static.inaturalist.org/photos/2480679/medium.JPG,"larch, Manning Park, Larch Meadows, British Columbia, Frosty Mountain, Sub-alpine Larch, trees",Hiked up to Larch Meadows yesterday.  It is very beautiful in fall colors!! They say that some of the trees in this meadow are at least 2000 years old.  Pretty incredible.,6,0,FALSE,,"Manning Park, BC",49.014004,-120.833215,,,,,,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
3827588,8/3/16,2016-08-03 19:05:44 UTC,Hawaii,46945,T. Abe Lloyd,2016-08-07 22:32:28 UTC,2020-07-11 19:12:35 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4476506/medium.jpeg,Conifer,,3,1,FALSE,,"Whatcom County, US-WA, US",48.759207,-120.858027,43,,,,43,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
3851647,8/3/16,2016-08-03 17:00:00 UTC,Pacific Time (US & Canada),278871,,2016-08-10 16:18:01 UTC,2023-03-12 19:42:47 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4510849/medium.jpg,,,5,2,FALSE,,"Whatcom County, US-WA, US",48.76701,-120.856468,,,,,,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
3889930,8/3/16,2016-08-03 17:00:07 UTC,Pacific Time (US & Canada),280287,,2016-08-15 03:57:29 UTC,2023-03-15 06:43:34 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4567355/medium.jpg,,Found growing in an alpine parkland ecotone. There were a large number of larch's growing within the same area. ,5,2,FALSE,3,"Okanogan-Wenatchee National Forest, National Forest/Park, WA, US",48.76435415,-120.8557878,346,,,,346,,open,,subalpine larch,Larix lyallii,subalpine larch,Plantae,69848
4269053,10/2/16,2016-10-02 20:49:21 UTC,Pacific Time (US & Canada),51931,Zach Hawn,2016-10-04 17:16:54 UTC,2023-03-17 17:48:00 UTC,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/5111516/medium.jpg,,,5,1,FALSE,,Lake Ingalls,47.46541,-120.941598,55,,,,55,,open,manual,western larch,Larix lyallii,subalpine larch,Plantae,69848
